Recipe Id,Recipe,Curray Name,Main Category,Sub Category,Estimated Time,Sri Lankan Cuisine,Province,Health Status
1,"2 medium aubergines, cut into one inch pieces
1 tsp salt
½ tsp ground turmeric
Rapeseed (canola) oil for shallow frying
10 shallots
2 tbsp coconut oil
1 tsp black mustard seeds
1 x 2.5cm (1 inch) cinnamon stick
3 green cardamom pods, bruised
20 fresh or frozen curry leaves
2 x 2.5cm x 2.5cm (1” x 1”) pandan leaves (optional)
1 red onion, finely chopped
2 tbsp garlic and ginger paste
10 green bird’s eye chillies, split lengthwise
2 large finely chopped tomatoes
1 tbsp ground coriander
2 tsp ground cumin
2 tsp Kashmiri chilli powder
2 tsp light brown sugar
2 tbsp distilled white vinegar or coconut vinegar
1 tsp tamarind concentrate
250ml (1 cup) thick coconut milk
",Sri Lankan Eggplant  curry,Curries,"Kirata(Using Coconut Milk),Spicy Flavor",10-20,"Lunch,Breakfast,Dinner",Western,Healthy
2,"2 tbsp coconut oil
1 tsp black mustard seeds
1 x 2.5cm (1 inch) cinnamon stick
12 fresh or frozen curry leaves
1 x 5cm (2 inch) piece of leeks, green ends fine
2 small pieces of pandan leaf
1 lemongrass, cut into 3 pieces and lightly bruised
1 medium red onion - finely chopped
4 green chilies (or to taste) - finely chopped
2 tbsp garlic and ginger paste
1 tbsp red chilli powder
1 tbsp garam masala
1/2 tsp ground turmeric
800g skinned chicken thighs, cut into bite sized pieces
400ml (16floz) thick coconut milk
2 kokum berries or 1 tsp tamarind paste or lemon/lime juice, to taste
Salt and pepper to taste
3 tablespoons finely chopped coriander (optional)
Instructions
Heat the oil in a large pan or wok over a medium-high heat. When hot and bubbly, add the mustard seeds. When the mustard seeds begin to crackle, stir in the cinnamon stick, leeks, curry leaves, pandan leaves and lemongrass.
Stir these ingredients around in the oil for about 30 seconds
Now stir in the chopped onions and fry for about 5 minutes or until turning soft and translucent. Then stir in the garlic and ginger paste along with the chopped chillies.
Continue frying and stirring for another 30 seconds and then stir in the ground spices.
Add the diced chicken and fry to brown for a couple of minutes and then add the coconut milk. You want the chicken to be just covered with liquid, so add a little water or chicken stock if needed. Add the kokum berries if using.
Bring this to a simmer and cover the pan to continue simmering for about 10 minutes or until the chicken is cooked through and tender.
Remove the lid and cook the sauce down to your preferred consistency.
If you haven't added kokum, add the tamarind concentrate and stir it into the sauce. Season with salt and pepper to taste. Try it and adjust the spicing to taste. You can also add a little more tamarind or lemon juice if you prefer a more sour flavour.
Serve topped with the fresh coriander (cilantro) on a bed of plain white rice or matta rice.",Sri Lankan Chicken Curry,Curries,"Kirata(Using Coconut Milk),Spicy Flavor",10-20,"Lunch,Breakfast,Dinner",Western,Healthy
3,"Radish – 150g
Onion – 30g
Green chili – 2 or 3
Curry leaves – Few
Lime juice – 1 tablespoon
Turmeric powder – ½ teaspoon
Salt – As you need
Thin coconut milk – 200ml
Thick coconut milk – 50ml
Instructions
1. Take the whole radish, clean, and rinse it well. Cut the radish into small pieces as shown in the picture below. Usually, people avoid the radish leaves but I recommend to chop and add the leaves too.
2. Slice the onions and green chilies. Also, take some curry leaves and keep aside.                                  3. Place the cooking pot on the stove and add the chopped radish. Also, add the onions, green chilies, curry leaves, turmeric powder, and salt. Mix them well and switch on the flame.                                             4. Now add the thin coconut milk and cook covered under medium flame for 10 to 12 minutes.                  5. Take off the lid and add the thick coconut milk. Give a good stir and again cook covered under medium flame for 2 to 4 minutes.

6. Finally, turn off the flame and add the lime juice. Taste the curry and adjust salt if needed.


7. Serve and enjoy this healthy radish curry Sri Lankan recipe with coconut milk.                                        ",Sri Lankan Radish (Turnip) Curry,Curries,Kirata(Using Coconut Milk),10-20,"Lunch,Breakfast,Dinner",Western,Healthy
4,"Ash gourd/Winter melon – 500g (Before cleaning)
Onion – 75g
Green chili – 3 or 4
Dried red chili – 1 or 2
Curry leaves – Few
Thick coconut milk – 100ml
Mustard seeds – ¼ teaspoon
Turmeric powder – ¼ teaspoon
Water – 150ml
Salt – As you want
Cooking oil – As you need
Notes
1. I instantly made coconut milk. If it’s hard, use coconut milk powder or bottled coconut milk.
2. You can reduce the number of green chilies and dried red chilies according to your taste.

Instructions
1. Take the ash gourd, peel off its skin, and cut off the part of the seed. Rinse and cut it into medium-sized pieces as shown in the picture below. Besides, cut the onion, green chilies, and dried red chilies. Additionally, prepare the coconut milk and take some water. Also, prepare with curry leaves, turmeric powder, salt, mustard seeds, and cooking oil                                                                    2. Now, place the skillet on the stove and add the ash gourd. On top of that, add green chili, ¼ parts of the onion, turmeric powder, salt, and water. Give a good mix                                                                         3. Cook covered under a high flame until all the liquid evaporates. Halfway through, take off the lid and give a good stir. For, me it takes about 10 minutes                                                                                             4. Now, add coconut milk and give a mix.                                                                                                                           5. Cook covered under medium flame for about three minutes. Adjust salt if needed. Once done, switch off the flame and leave it aside for final preparation.                                                                                                                                                                                                                                  6. Heat the oil and add mustard seeds. Let them splutter. Then, add the rest of the onion, curry leaves, and dried red chili                                                      7. Sauté them until the onion turns golden as shown in the picture below.                                                                8. Finally, add the prepared ash gourd curry, give a gentle mix, and switch off the flame                                9. This is how to cook the best and most tasty ash gourd curry recipe at home. Serve and enjoy this Sri Lankan Puhul curry recipe.",Ash Gourd Curry Recipe (Puhul/Wax Gourd/Winter Melon),Curries,Kirata(Using Coconut Milk),20+   ,"Lunch,Breakfast,Dinner",Western,Healthy
5,"Ingredients:
Spiced red lentil curry
▢150 g red lentils ¾ cup
▢600 mL water 2.5 cups
▢½ tsp sea salt
▢2 – 3 green chili use jalapeno for a mild version, OR de-seed the green chili before using. OR omit for a very mild version (but I do recommend some green chili at least).
▢¼ yellow onion sliced
▢1 garlic clove minced
▢½ tsp sugar
▢120 – 180 mL canned coconut milk ½ – ¾ cup, full fat preferably.
Spice mix for the curry
▢¼ tsp ground turmeric
▢½ tsp ground cinnamon
▢½ tsp ground cumin
▢¼ tsp ground coriander
▢¼ tsp Kashmiri chili or cayenne pepper use less if you prefer (we use 1 tsp as we do like it spicier).
▢⅛ tsp hing / asafoetida optional, but recommended
▢8 fenugreek seeds ground, optional
For tempering
▢2 – 3 tbsp vegetable oil or coconut oil
▢¼ onion very thinly sliced
▢1 dried red chili adjust to suit your spice tolerance, or use more if you like more heat.
▢½ tsp black mustard seeds
▢½ tsp cumin seeds
▢6 – 10 curry leaves
▢¼ cup cilantro chopped
▢Lime for lime juice, optional
Instructions:
Spiced red lentil curry
Place the lentils in a fine sieve or colander. Wash the lentils very well until the water runs clear.
150 g red lentils

In a medium pot (about 3 qt), add the washed lentils, water, salt, green chili, onion, minced garlic, sugar, and the spice mix. Make sure the fenugreek seeds are ground before you add it, otherwise it'll be bitter if you bite into whole seeds.
150 g red lentils,600 mL water,½ tsp sea salt,2 – 3 green chili,¼ yellow onion,1 garlic clove,½ tsp sugar,¼ tsp ground turmeric,½ tsp ground cinnamon,½ tsp ground cumin,¼ tsp ground coriander,¼ tsp Kashmiri chili or cayenne pepper,⅛ tsp hing / asafoetida,8 fenugreek seeds

Over medium high heat, bring the water to a boil. Then lower the heat and simmer the red lentils for about 10 – 15 minutes until the lentils are just cooked through. You can have the pot partially covered or uncovered for this, but do add some hot water if too much water evaporates. I prefer to have the lentil curry partially covered.
The longer the red lentils are simmered, the more they will lose their shape. If you prefer your red lentils to better hold their shape, simmer only until the lentils are mostly cooked through. If you prefer a creamier texture, you can allow the lentils to simmer until fully cooked through.
When the lentils have simmered, stir in the coconut milk. You can also add a little extra water to get the consistency you like. I like my red lentil curry to be creamy, but have a looser texture (between a thick curry and soup).
120 – 180 mL canned coconut milk
Heat the dhal while stirring until it starts to simmer, and then allow to simmer for about 2 minutes. Taste and adjust salt to your taste.
The curry can be served as is at this point, with some chopped cilantro on top and a squeeze of lime juice. But you can also temper the curry (instructions below) for a big flavor boost!
Tempering dhal curry
Break the dried chili in half, or into larger pieces. You can use more than one for a spicier curry.
1 dried red chili
Heat the oil over medium heat in a small pot.
2 – 3 tbsp vegetable oil
When the oil starts to heat up, add the thinly sliced onions. Sauté to sweat the onions while heating the oil.
¼ onion
When the onions start to turn a light golden color, add the mustard seeds and cumin. Keep stirring the mixture until the mustard seeds start to pop, and the onions are more golden in color.
½ tsp black mustard seeds,½ tsp cumin seeds
When the mustard seeds start popping, add the dried chili and curry leaves, and mix for about 30 seconds to let the curry leaves and chili toast. But do NOT let them burn.
6 – 10 curry leaves,1 dried red chili
Immediately add these tempered spices to the hot lentil curry, and stir in to mix.
The dhal curry is now ready to be served.
OPTIONAL – You can add about 100 g of leafy greens while heating the lentil curry until the greens wilt and mix into the curry. This will take a further 2 – 4 minutes, depending on how much you add. Spinach is common and a favorite.
Before serving, stir in chopped cilantro (or simply sprinkle some on top), along with a squeeze of lime juice.
¼ cup cilantro,Lime
Tips & Tricks
Storage
This dhal curry can be made ahead of time, and will in fact taste better the next day. However, the curry will thicken the longer it’s stored, so you may need to add a little extra liquid as you reheat the curry. 
Dhal curry will last in the fridge for about 4 days, and in the freezer for up to 6 months. 
If you’re reheating this curry from frozen, make sure to reheat the curry at about 50% power (in your microwave) for a longer time until the curry thaws.
Then you can reheat at 100% power until it’s properly heated. This ensures more even reheating of the lentils.
Alternatively, you can allow the dal curry to thaw in the fridge for 12 – 24 hours, and then reheat in the microwave or on the stove.",Sri Lankan Dhal Curry,Curries,"Kirata(Using Coconut Milk),Spicy Flavor",10-20,"Lunch,Breakfast,Dinner",Western,Healthy
6,"Ingredients
Cauliflower
Coconut milk or cream (unsweetened). You can also use lite coconut milk, but it’ll taste better with regular coconut milk.
Turmeric
Mustards seeds                                                                                                                                                                                                                                                      The first step is to prepare all the ingredients.
Cut the stem off of the cauliflower, but do not discard it. Also remove the leaves around the cauliflower (IF you got one with leaves), and set aside.

Cut the head of the cauliflower into florets. The florets should be bite-sized and also evenly-sized if possible. Rinse and drain, and set aside.

Take the stem of the cauliflower and trim the bottom if it’s dried out. If the stem is very tough, use a peeler or knife to remove the outer skin of the cauliflower stem. Cut the stem into 1 inch pieces, and then slice these pieces. They don’t have to be too thin, but shouldn’t be too thick either. Take the leaves of the cauliflower and cut them into long strips. Wash these separately and set aside.                                      Prepare the rest of the spices next. Slice or dice the onions. Slice the garlic and/or ginger as well. Finally, measure out the other spices as well and keep them all together, along with the coconut milk.                          Heat some oil (coconut oil or a neutral tasting oil) in a pot, over medium heat. When the oil is hot, add the mustard seeds. Stir the mustard seeds around until you start to hear them pop. Add the curry leaves and stir fry for just a few seconds. Add the onions, garlic, chili, rampe, and other spices, and saute until the onions soften.                                                                                                                                             Cooking the cauliflower.
Add the cauliflower florets and the cut up stem into the pot. Mix until the cauliflower is coated in the spice mix, and then add a little salt as well. Saute the cauliflower for about 5 – 10 minutes until the cauliflower is just starting to soften. Add the cauliflower greens, and then the coconut milk (and water, if using).

Bring the coconut milk to a boil, then lower the heat and let it simmer for about 10 – 15 minutes. Or a minimum of 10 minutes, until the cauliflower is soft. I like to uncover the pot and let the creamy cauliflower curry simmer, so that the gravy has a chance to concentrate and thicken, making it even more creamy and flavorful. But if you’d like more gravy, you can close the lid and let it simmer as well. If you need to, add a little more water to get the desired consistency.

Ground coriander
Onion
Garlic and/or ginger
Green chili (optional)
Curry leaves
Rampe (optional)
Salt",Sri Lankan Cauliflower curry,Curries,"Kirata(Using Coconut Milk),Spicy Flavor",10-20,"Lunch,Breakfast,Dinner",Western,Healthy
7,"Ingredients:
2 large Granny Smith apples or any crisp apple with slight sour notes
3 tbsp oil
1 1/2 tsp mustard seeds
1/2 medium onion roughly chopped
1 – 2 bay leaves dried
1 green chili peppers jalapeno or serrano
5 dried red chili peppers de-seeded, if you prefer a milder curry
1 tbsp Sri Lankan Roasted Curry Powder
1/4 tsp turmeric powder
1/2 -1 tsp chili powder/cayenne pepper less for a milder curry
2 garlic cloves chopped finely
1 tbsp brown sugar
1/4 tsp salt
1/4 cup coconut milk
1/3 cup water or apple cider/natural juice NOT VINEGAR
Salt to taste                                                                                                                                    Instructions:
Chop the onions and slice the green and red chili peppers. Remove the seeds if you prefer less heat in your apple curry.                                               Wash and cut apples into quarters. Do not remove seeds or the core. Halve the quarters length-wise for thinner slices or across for chunkier pieces.
Heat the oil over medium heat in a non-stick saucepan or skillet.
Add the onions, bay leaves, green and red chili pepper and mustard seeds, and saute for a few minutes till onions are softened.                             Add the Sri Lankan curry powder, turmeric and chili powder and mix for about 30 seconds, just until you start to smell the spices.
Add the sliced/quartered apples, garlic, salt and sugar and cook on medium high heat for a few minutes while gently coating the apples all over with the spices.
Cook the apples for about 10 minutes – uncovered, stirring occasionally. The apples will start to soften slightly.
Add the coconut milk and water/apple cider and stir through with the apples. Return to the stove for another 5 – 10 minutes covered, until the apples soften – PLEASE SEE NOTE.
Taste and season with more salt if desired.
Carefully stir through to coat the apples with the sauce/gravy – since the apples have softened and you don’t want them to break up (add more water if you like more sauce – but I recommend a thicker sauce).
Tips & Tricks
NOTE – cook the apples for only about 5 minutes if you prefer slightly firmer apples that still have a good bite to it. Cook them up to 8 minutes if you prefer softer apples in your curry. I love apples that are very soft, but they are firmer in traditional Sri Lankan apple curries.                                                                                                ",Srl Lankan Apple curry,Curries,"Kirata(Using Coconut Milk),Spicy Flavor",10-20,"Lunch,Breakfast,Dinner",Western,Healthy
8,"ingredients.

Coriander
Cumin
Black pepper
Cayenne pepper or Kashmiri chili
Cardamom
Fennel
Cloves                                                                                                                                                     Coconut milk
This curry is heavy on coconut milk, since it adds creaminess to the curry. For best results, use regular full-fat coconut milk. But if you must, you can use light coconut milk too. I don’t typically use light coconut milk since it doesn’t have as much flavor as regular full fat coconut milk.

Toasted desiccated coconut
Here’s a pro tip that makes this delicious pumpkin curry recipe different from all the other pumpkin curries out there, and truly elevates this dish.

The addition of toasted, desiccated coconut imparts a lovely toasty, smoky flavor! This is an optional step, but it’s a very popular technique for some Sri Lankan curries. 

The unsweetened desiccated coconut is toasted in a non-stick pan until it starts to turn golden brown in color and is toasted. This is then ground into a powder and added to the curry.

It not only adds a lovely smoky flavor, but also helps to thicken the curry.                                                                                                                                                  How to make pumpkin curry
How to cut the pumpkin into pieces
Since Jamaican pumpkin is large, I usually only buy pieces that have already been cut.

Whichever pumpkin you use, you need to scoop out the pumpkin seeds in the center. Then you can cut the pumpkin into pieces.

With large pumpkins, cut them into wedges that are about 2 inches in width on the skin side. Then cut each wedge into pieces that are about 1 inch thick. You can cut each piece in half for 1 x 1 inch pieces, or keep them at 2 x 1 inch as well.

Butternut squash can be prepped by first halving them and then removing the seeds. Then lay them cut side down, and cut pieces that are about 1 x 2 inches.                                                                                                 Prepare all the other ingredients
I like to keep the garlic cloves whole. This is because they soften in the curry, and my husband loves eating softened whole garlic cloves. That way the curry gets plenty of garlic flavor, and my husband gets to eat “curried” garlic cloves. Win win.

This curry works best with a generous amount of garlic. If you’re especially averse to it, then you can reduce it, but I do highly recommend being generous with the garlic.

You can find my Sri Lankan curry powder recipe here.

Toast the unsweetened desiccated coconut before you start cooking OR while the pumpkin curry is cooking. You will be adding this only at the end.                                                                                                                                  Start cooking
Once you have everything prepped, cooking this Sri Lankan pumpkin curry is easy, and it doesn’t take much time.

In a large pot, heat some oil (you can use any kind of cooking oil) over medium heat. Add the onions and start to soften them in the pot. Add the garlic and curry leaves at the same time. This allows the base of the curry to develop.

When the onions are translucent, add the spices (including the Sri Lankan curry powder), and stir until they toast ever so slightly, so you can smell all the flavors of the spices.

Add the pumpkin and coconut milk (and some salt and a little sugar), and stir to combine. Let it simmer in the curry sauce over medium or medium – high heat (with the lid off). Top off with water only if too much of the coconut milk evaporates.                                                                  The curry is done when the pumpkin is tender. You can add more water if you’d like the curry sauce to be less thick. But take care when stirring the curry, as you don’t want to crush the soft pumpkin pieces.

PRO TIP – Instead of stirring the curry, you can swirl the pot to get the spices to mix with the liquid. If you do need to move the pumpkin around, gently move or flip the pumpkin pieces instead.

When the pumpkin curry is almost done, sprinkle in the ground toasted coconut, and very gently fold it in. You can also gently shake the pot to distribute the ground coconut in the sauce.                                           ",Sri Lankan Pumpkin curry,Curries,Kirata(Using Coconut Milk),10-20,"Lunch,Breakfast,Dinner",Western,Healthy
9,"Ingredients:
450 g beetroot tops cut and removed, washed and peeled (about 2 large beets)
¼ large onion 1 small onion / ½ medium onion. Yellow or white onion.
2 long green chili or 1 serrano pepper, sliced (de-seed to reduce heat level)
2 cloves garlic chopped finely
5 - 6 curry leaves fresh or dried
½ tsp Sri Lankan curry powder or ¼ tsp each of ground coriander and cumin
¼ tsp ground turmeric heaped
½ tsp cayenne pepper optional
¼ tsp sea salt more to taste
½ cup coconut milk more to taste. Preferably full fat coconut milk and not light coconut milk.
½ cup water more if you like a thin gravy                                                                        Instructions:
Slice the beetroot into slices that are about 3 mm in thickness. You can do this with a knife, or using a food processor with a slicing disc.
450 g beetroot                                                                                                                         Once sliced, julienne the beetroot slices into batons.
Place the julienned beetroot in a saucepan, along with the onions, sliced green chili, garlic, curry leaves, curry powder, turmeric powder, cayenne pepper, and salt. Mix well to combine.
¼ large onion,2 long green chili,2 cloves garlic,5 - 6 curry leaves,½ tsp Sri Lankan curry powder,¼ tsp ground turmeric,½ tsp cayenne pepper,¼ tsp sea salt                                                                                                                                                             Stir in the coconut milk and water.
½ cup coconut milk,½ cup water
Heat the saucepan over medium high heat, while stirring occasionally, until the coconut milk/water comes to a boil.
Reduce the heat to a simmer, and let it cook covered, for about 5 minutes.
Uncover and cook for a further 5 - 10 minutes while stirring frequently, until the beetroot is cooked to al dente (i.e. cooked through but not soggy). The cook time will vary depending on the thickness and sizes of the beetroot.
If the liquid is evaporating too quickly, you can add more water or coconut milk.
Taste and add more salt if necessary. 
Serve with cooked rice.
Tips & Tricks
For beginners - Without cutting the beetroot into julienne batons, cut the beetroot into slices, and then cut the slices in half (half circle shapes) to make it easier. Please note that the cook time will increase. Cook until the beetroot is ""al dente"".
Note on deseeding chili peppers - If you're sensitive to spice, then make sure to de-seed the the jalapeno / serrano / green chili peppers. Wear gloves to avoid contact with skin, and always wash your hands before touching anyone else or any other part of your body. ",Sri Lankan beetroot curry,Curries,Kirata(Using Coconut Milk),10-20,"Lunch,Breakfast,Dinner",Western,Healthy
10,"Ingredients:
2 tbsp coconut oil or any cooking oil
½ medium onion or shallots
2 - 3 garlic cloves minced or whole
1 inch piece of ginger minced
10 curry leaves you can use as little as 5 as well
2 pandan leaves about 2 inches in length
2 tbsp Sri Lankan Roasted Curry Powder
1 tsp cayenne pepper adjust chili to your spice level
½ tsp ground turmeric
1 tsp black pepper use bout ½ tsp if you prefer less spice
1 cinnamon stick about 4 inches
1 tsp tamarind concentrate 1 tbsp tamarind paste
1 ¼ tsp sea salt
1 tsp sugar from a measuring spoon, not a regular spoon
600 g canned jackfruit from 2 cans, rinsed and drained
Coconut pieces optional
¼ cup water
1 ¼ cup coconut milk avoid lite coconut milk
Salt to taste                                                                                                                                               Instructions:
In a medium sized saucepan, heat the coconut oil over medium heat.
2 tbsp coconut oil                                                                                                       When the oil is heated, add the onion, and saute until softened.
½ medium onion
Add the garlic and ginger, and saute for a few minutes, but make sure not to let them burn. If you’re using whole garlic cloves, these will soften during the cooking process too.
2 - 3 garlic cloves,1 inch piece of ginger

Add the curry leaves and pandan leaves, and let them fry in the oil for just a few seconds.
10 curry leaves,2 pandan leaves
Add the curry powder, cayenne pepper, turmeric, black pepper, and cinnamon stick, and saute the mixture for about 1 - 2 minutes to mix. The spices should be very fragrant, but again, make sure not to let them burn. Adjust the stove heat accordingly.
2 tbsp Sri Lankan Roasted Curry Powder,1 tsp cayenne pepper,½ tsp ground turmeric,1 tsp black pepper,1 cinnamon stick
Next, add the tamarind, salt, sugar, young jackfruit, and coconut pieces (optional), and mix to coat the jackfruit in the spice mix.
1 tsp tamarind concentrate,1 ¼ tsp sea salt,1 tsp sugar,600 g canned jackfruit,Coconut pieces
Add the water and coconut milk, and stir to mix. Increase the heat to medium high and bring the curry to a boil.
¼ cup water,1 ¼ cup coconut milk
Lower the heat to medium low to low, and let the curry gently simmer (with the lid slightly off) for about 1 - 1 ½ hours. If too much liquid is evaporating while cooking, add some water as needed.
The jackfruit pieces should be nice and soft (check by pricking the “nose” of a jackfruit piece to see how easily it can be pierced with a knife/fork or skewer). Taste and season with salt to taste.
After the curry has simmered and the jackfruit is soft, you can cook the curry uncovered for a few more minutes IF you prefer a thicker curry gravy. If the gravy is too thick for your liking however, add a little water. Always season to taste.
Salt to taste
Serve the curry warm. But as with any curry, they do taste even better the following day!",Jackfruit Curry(Polos Curry),Curries,"Kirata(Using Coconut Milk),Spicy Flavor",20+   ,Lunch,Western,Healthy
